,best_mse,best_positions,time
0,0.5259940665954624,"[2.1885135373992934, 1.2321640480232954, 4.245183944702148, 0.571556231636494, 8.405344691717678, 2.9842288168474336, 2.5866737533446633, 0.7979999780654907, 2.6928384689684837, 1.4598726474929493, -9.89889907836914, 0.12099544784316242, 4.924482521592047, 9.516691473518618, -1.1121121644973755, 0.6342198387755109, 0.6162039223804273, 0.9821910050435534, 0.44999998807907104, 0.44999998807907104]",151
1,0.554723392198341,"[3.153660061612076, 0.3133224195578227, 4.1328903432379835, 0.33267752515028276, 9.036843299865723, 3.3026750182921685, 3.7047275516615645, 0.7979999780654907, 2.7076512199228016, 2.914639897746776, -9.89889907836914, 0.11458208465013583, 4.7912321974107535, 8.099099159240723, -1.1121121644973755, 0.6737030242549166, 0.44999998807907104, 0.4945655291758073, 0.8909596725017471, 0.44999998807907104]",76
2,0.5765511054849777,"[1.7023991987375497, 0.7953566864547071, 4.203185591082995, 0.13829450740614435, 9.036843299865723, 2.5437035451886496, 2.9011552574126047, 1.0521723887846888, 2.2405759345710625, 1.8890296102218203, -9.89889907836914, 0.10774509057170603, 5.026987380673525, 9.531157060769969, -1.1121121644973755, 0.8085702035489883, 0.761060342479239, 0.9830892284059991, 0.44999998807907104, 0.44999998807907104]",77
3,0.5298528173474784,"[1.7304567181651773, 1.8511796241326401, 4.245183944702148, 0.8939460082368526, 7.741721801719109, 4.0, 2.9233266410279986, 0.7979999780654907, 0.7979999780654907, 2.175991990275014, -9.89889907836914, 0.1073237761801265, 4.862203699315442, 8.76974245307001, -1.1121121644973755, 0.7818287003883088, 0.7381828181935259, 0.4655749221214263, 0.9976994809779752, 0.5874836909516226]",101
4,0.5529689590117223,"[2.109486607072907, 0.9703549341252808, 3.704901312791102, 0.292361977917944, 9.021594316694127, 4.0, 2.2252141720494474, 1.3430758484665628, 0.863467097502741, 1.8095456765159095, -9.89889907836914, 0.11966721240926842, 4.816612041872008, 8.099099159240723, -1.1121121644973755, 0.6669023934886987, 0.5846084415420227, 0.8404262071625452, 0.7154487394036106, 0.644794825409766]",97
5,0.4930052025818905,"[1.7001459104731338, 2.0750224809135505, 4.245183944702148, 0.3327769969542711, 8.194794555527935, 3.9303368601194357, 3.785063903087492, 1.4756407072224467, 2.2137145972020154, 1.9904422701536115, -9.89889907836914, 0.11020179436656843, 4.874467657999671, 8.467895902685191, -1.1121121644973755, 0.7338575029181099, 0.44999998807907104, 0.5546994172246149, 0.5290105178258506, 0.6014808353752984]",146
6,0.5742621071746743,"[1.6233433498284273, 0.5462421050221212, 3.560268506524837, 0.3501326678319213, 8.781882943491821, 3.619785356482093, 2.87168469972515, 0.9177229319796327, 4.0, 2.2986190782999163, -9.89889907836914, 0.10648178287863701, 4.978900760144104, 9.89889907836914, -1.1121121644973755, 0.4711562296060362, 0.8175699534472168, 0.5600949032411311, 0.5049322957963751, 0.5856573430543269]",47
7,0.5102537502172309,"[2.6313177967937746, 1.6797694089518431, 4.223052497505145, 0.30433372089541794, 7.688494498459145, 3.31137025259711, 1.6001367173954848, 1.0811282118900083, 2.2528566822029403, 2.0598506875583014, -9.89889907836914, 0.10593874505601468, 4.860059966742379, 8.750542556444191, -1.1121121644973755, 0.6578240195021726, 0.7554958726121535, 0.46336535322297556, 0.4607797610102222, 0.44999998807907104]",151
8,0.5071869563920377,"[0.9343591545459273, 1.985360727226178, 3.843668532826595, 0.13907833066666714, 5.861347993057722, 3.9572179954118445, 3.4523965189292234, 1.3320116011813954, 2.7812416363480326, 2.0230630721255034, -9.89889907836914, 0.1004397261850267, 5.027471089419745, 9.605551636605185, -1.1121121644973755, 0.5995673190879438, 0.925931824726993, 0.6491788030421906, 0.7384351890807097, 0.6729421773089594]",117
9,0.5252522036048382,"[1.8297312915361548, 0.7842238190211592, 3.9240498629665357, 0.7371809268861806, 7.926571369317308, 2.281330856893525, 2.901974031458961, 0.7979999780654907, 2.2078955432224183, 2.1464140876244424, -9.89889907836914, 0.12073873129046918, 4.929132733040708, 8.461693357544586, -1.1121121644973755, 0.5650460359618422, 0.8959888688859485, 0.8008128533879015, 0.8186746130426786, 0.44999998807907104]",98
